tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,spatial_disambig_applied,spatial_disambig_jump_top_px,spatial_disambig_jump_sec_px,decision_reason
89,36,36,131,3040,3076,center,center,0.9586715846726939,0.9816194720978487,87,36,0.9816194720978487,87,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
124,56,56,146,3047,3051,right,right,0.9844751960164355,0.8925130927380811,123,56,0.8925130927380811,123,True,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_123_via_same_candidate_safe_accept|local_consistency_pass
125,56,56,146,3076,3100,right,right,0.7952874590030082,0.9495656248890537,123,56,0.9495656248890537,123,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
90,36,36,131,3082,3082,center,center,0.9095517943509532,0.9652057689333667,74,36,0.9652057689333667,74,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
91,36,36,131,3099,3121,center,center,0.9538356336814786,0.9947889145619008,89,36,0.9947889145619008,89,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
126,56,56,146,3113,3133,right,right,0.62,0.9063131240979972,125,56,0.9063131240979972,125,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
129,66,66,158,3180,3185,center,center,0.8827802240586262,0.9252645582868402,75,36,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
130,66,66,159,3191,3284,center,right,0.962792536728615,0.9735172272786848,125,56,0.7149444152589438,129,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
133,67,67,163,3289,3293,center,center,0.8848728498122593,0.9429976232620435,129,66,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
136,68,68,161,3289,3328,right,right,0.7295452897007862,0.9247111906711835,130,66,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
131,66,66,162,3299,3300,right,right,0.9153678057823837,0.8618553788830682,126,56,0.7804184882079576,130,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
134,67,67,163,3309,3352,center,center,0.9522655711444707,0.969890048016378,81,36,0.8847976054947438,133,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
132,66,66,164,3323,3325,right,right,0.46200163047472076,0.6160260093726715,128,60,0.5424747531879938,130,False,False,False,-1.0,-1.0,rejected_ambiguous_margin_new_id|local_consistency_pass
137,76,76,165,3388,3388,center,center,0.9735145793380526,0.9660554908067224,134,67,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
138,76,76,167,3396,3402,center,center,0.9583738701075554,0.9652426203087502,137,76,0.9652426203087502,137,True,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_137_via_same_candidate_safe_accept|local_consistency_pass
140,69,69,166,3399,3407,right,center,0.9672223782569828,0.9022280234329256,92,37,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
139,76,76,167,3415,3531,center,center,0.9940213627441622,0.9185772456543223,138,76,0.9185772456543223,138,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
141,70,70,168,3422,3518,center,center,0.9671772202890686,0.8677542560867638,140,69,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
142,71,71,169,3429,3615,right,right,0.4624378456147119,0.7395044161427455,132,66,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
143,72,72,170,3466,3487,right,right,0.7897956538662918,0.7024239948380724,114,49,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
144,73,73,171,3517,3615,center,center,0.8799998665984459,0.6476416452503253,101,40,-1.0,0,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
145,74,74,170,3585,3591,right,right,0.790642657408665,0.9144782818778009,143,72,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_143_via_strong_reentry_reuse|local_consistency_pass
135,67,67,163,3594,3614,center,center,0.9841587406567565,0.9249774212336388,134,67,0.9249774212336388,134,True,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
