subset_frame_idx,original_frame_idx,window_id,video_path,image_path,notes
72,372,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000372.jpg,window_based_dense_subset;mid_early_reentry_candidate
73,373,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000373.jpg,window_based_dense_subset;mid_early_reentry_candidate
74,374,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000374.jpg,window_based_dense_subset;mid_early_reentry_candidate
75,375,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000375.jpg,window_based_dense_subset;mid_early_reentry_candidate
76,376,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000376.jpg,window_based_dense_subset;mid_early_reentry_candidate
77,377,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000377.jpg,window_based_dense_subset;mid_early_reentry_candidate
78,378,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000378.jpg,window_based_dense_subset;mid_early_reentry_candidate
79,379,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000379.jpg,window_based_dense_subset;mid_early_reentry_candidate
80,380,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000380.jpg,window_based_dense_subset;mid_early_reentry_candidate
81,381,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000381.jpg,window_based_dense_subset;mid_early_reentry_candidate
82,382,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000382.jpg,window_based_dense_subset;mid_early_reentry_candidate
83,383,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000383.jpg,window_based_dense_subset;mid_early_reentry_candidate
84,384,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000384.jpg,window_based_dense_subset;mid_early_reentry_candidate
85,385,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000385.jpg,window_based_dense_subset;mid_early_reentry_candidate
86,386,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000386.jpg,window_based_dense_subset;mid_early_reentry_candidate
87,387,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000387.jpg,window_based_dense_subset;mid_early_reentry_candidate
88,388,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000388.jpg,window_based_dense_subset;mid_early_reentry_candidate
89,389,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000389.jpg,window_based_dense_subset;mid_early_reentry_candidate
90,540,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000540.jpg,window_based_dense_subset;mid_overlap_candidate
91,541,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000541.jpg,window_based_dense_subset;mid_overlap_candidate
92,542,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000542.jpg,window_based_dense_subset;mid_overlap_candidate
93,543,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000543.jpg,window_based_dense_subset;mid_overlap_candidate
94,544,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000544.jpg,window_based_dense_subset;mid_overlap_candidate
95,545,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000545.jpg,window_based_dense_subset;mid_overlap_candidate
96,546,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000546.jpg,window_based_dense_subset;mid_overlap_candidate
97,547,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000547.jpg,window_based_dense_subset;mid_overlap_candidate
98,548,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000548.jpg,window_based_dense_subset;mid_overlap_candidate
99,549,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000549.jpg,window_based_dense_subset;mid_overlap_candidate
100,550,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000550.jpg,window_based_dense_subset;mid_overlap_candidate
101,551,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000551.jpg,window_based_dense_subset;mid_overlap_candidate
102,552,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000552.jpg,window_based_dense_subset;mid_overlap_candidate
103,553,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000553.jpg,window_based_dense_subset;mid_overlap_candidate
104,554,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000554.jpg,window_based_dense_subset;mid_overlap_candidate
105,555,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000555.jpg,window_based_dense_subset;mid_overlap_candidate
106,556,3,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000556.jpg,window_based_dense_subset;mid_overlap_candidate
